name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h
"KNCHEDGE/USD",true,false,0.05,0.0001,0.0001,460,438.95,442.5,442.5,"spot","KNCHEDGE","USD","",false,true,-0.0006775067750677507,-0.02382528127068167,-0.0286466908133026,0,0
"LEOBEAR/USD",true,false,0.025,0.001,0.001,63.55,67.8,71.45,67.8,"spot","LEOBEAR","USD","",false,true,0.018018018018018018,0.07363420427553444,0.0029585798816568047,0.1943,0.1943
"LEOBULL/USD",true,false,0.1,0.0001,0.0001,476.4,460,483.4,476.4,"spot","LEOBULL","USD","",false,true,0,-0.09239855210516289,0.0037926675094816687,0.1961,0.1961
"LEOHALF/USD",true,false,0.5,0.00001,0.00001,9216,8930.5,9151.5,9151.5,"spot","LEOHALF","USD","",false,true,-0.0008734101206397729,-0.006998697916666667,-0.006998697916666667,0,0
"LEOHEDGE/USD",true,false,0.25,0.0001,0.0001,2296,2312.5,2423.25,2312.5,"spot","LEOHEDGE","USD","",false,true,0.002818733738074588,0.007186411149825784,0.007186411149825784,0,0
"LINKBEAR/USD",true,false,1e-8,1000000,1000000,2.1e-7,1.9e-7,2.1e-7,2.1e-7,"spot","LINKBEAR","USD","",false,true,0,-0.045454545454545456,-0.125,3017.84,3017.84
"LINKBEAR/USDT",true,false,1e-8,1000000,1000000,1.9e-7,1.9e-7,2.1e-7,1.9e-7,"spot","LINKBEAR","USDT","",false,true,-0.13636363636363635,-0.17391304347826086,-0.13636363636363635,44.88,44.8762650864
"LINKBULL/USD",true,false,0.0005,0.1,0.1,1.62,1.572,1.581,1.581,"spot","LINKBULL","USD","",false,true,0.04425363276089828,0.11298838437170011,0.13577586206896552,27711.2193,27711.2193
"LINKBULL/USDT",true,false,0.0005,0.1,0.1,1.5735,1.568,1.5865,1.5735,"spot","LINKBULL","USDT","",false,true,0.04033057851239669,0.1045981045981046,0.12392857142857143,48863.5866,48859.52017232315
"LINKHALF/USD",true,false,1,0.00001,0.00001,17572,17656,17703,17656,"spot","LINKHALF","USD","",false,true,0.006843065693430657,0.018576208607361255,0.02146369684697715,7689.68292,7689.68292
"LINKHEDGE/USD",true,false,0.0025,0.01,0.01,24.5575,24.015,24.09,24.09,"spot","LINKHEDGE","USD","",false,true,-0.014320785597381341,-0.03514568939621508,-0.04357320099255583,50609.17595,50609.17595
"LTCBEAR/USD",true,false,0.000005,10,10,0.01061,0.010515,0.01061,0.01061,"spot","LTCBEAR","USD","",false,true,0.002835538752362949,-0.11877076411960133,-0.11877076411960133,2447.01605,2447.01605
"LTCBEAR/USDT",true,false,0.000005,10,10,0.010545,0.010485,0.01064,0.010545,"spot","LTCBEAR","USDT","",false,true,-0.006126295947219604,-0.12851239669421488,-0.12851239669421488,738.49305,738.431592608379
"LTCBULL/USD",true,false,0.00005,1,1,0.13535,0.1352,0.1359,0.13535,"spot","LTCBULL","USD","",false,true,-0.001107011070110701,0.1181330028913672,0.12091097308488613,14662.88515,14662.88515
"LTCBULL/USDT",true,false,0.00005,1,1,0.1358,0.1348,0.13645,0.1358,"spot","LTCBULL","USDT","",false,true,0.004809470958194599,0.1176954732510288,0.13308302044221945,23123.2734,23121.34908118765
"LTCHALF/USD",true,false,0.5,0.00001,0.00001,12064.5,12069,12103.5,12069,"spot","LTCHALF","USD","",false,true,0,0.017836812144212524,0.017021993764220106,9298.954665,9298.954665
"LTCHEDGE/USD",true,false,0.05,0.0001,0.0001,631.15,617.8,618.5,618.5,"spot","LTCHEDGE","USD","",false,true,-0.0021779462773251594,-0.040639056925701876,-0.039521701995496546,0,0
"MATICBEAR2021/USD",true,false,0.0001,0.1,0.1,0.475,0.4686,0.4766,0.475,"spot","MATICBEAR2021","USD","",false,true,0.011283798169044072,-0.05094905094905095,-0.09566872917658258,129251.828755,129251.828755
"MATICBULL/USD",true,false,0.0005,0.1,0.1,1.3335,1.333,1.341,1.3335,"spot","MATICBULL","USD","",false,true,-0.006333830104321907,0.058333333333333334,0.0930327868852459,513883.2961,513883.2961
"MATICHALF/USD",true,false,5,0.000001,0.000001,68095,67910,68165,68095,"spot","MATICHALF","USD","",false,true,0,0.012414510853404698,0.018166866028708133,31041.897635,31041.897635
"MATICHEDGE/USD",true,false,0.00005,0.1,0.1,0.61615,0.6193,0.62435,0.6193,"spot","MATICHEDGE","USD","",false,true,0.0023468479404386176,-0.027862805117337727,-0.03842869342442357,16165.394925,16165.394925
"MIDBEAR/USD",true,false,5e-7,100,100,0.0013015,0.001293,0.0013015,0.0013015,"spot","MIDBEAR","USD","",false,true,-0.004969418960244648,-0.08570425008781173,-0.08280479210711769,0.41735,0.41735
"MIDBULL/USD",true,false,0.05,0.001,0.001,181.4,178.45,179.5,179.5,"spot","MIDBULL","USD","",false,true,0.009561304836895388,0.08132530120481928,0.08787878787878788,535.30285,535.30285
"MIDHALF/USD",true,false,1,0.00001,0.00001,17992,17096,17135,17135,"spot","MIDHALF","USD","",false,true,0.0005255167581455098,0.013365663256254066,0.013066099089511648,0,0
"MIDHEDGE/USD",true,false,0.01,0.001,0.001,158.75,153.12,153.72,153.72,"spot","MIDHEDGE","USD","",false,true,-0.0020125949490359023,-0.028932406822488946,-0.02758097165991903,1007.4275,1007.4275
"MKRBEAR/USD",true,false,5e-7,100,100,0.001179,0.001196,0.0012125,0.001196,"spot","MKRBEAR","USD","",false,true,-0.011161637040099214,-0.20319786808794138,-0.22413233863120338,8680.42435,8680.42435
"MKRBULL/USD",true,false,0.05,0.001,0.001,250.2,242.45,246.1,246.1,"spot","MKRBULL","USD","",false,true,0.016942148760330577,0.20401174168297456,0.23296593186372747,9433.69725,9433.69725
